"Preondactylus,""bufarinii"","""","""""
"Peteinosaurus,""zambelli"","""","""""
"Eudimorphodon,""ranzii"","""","""""
"Dimorphodon,""macronyx"","""",""1"""
"Anurognathus,""ammoni"","""",""1"""
"Jeholopterus,""ningchengensis"","""","""""
"Sordes,""pilosus"","""","""""
"Rhamphorhynchus,""muensteri"",""type"",""1"""
"Rhamphorhynchus,""etchesi"","""",""1"""
"Dearc,""sgiathanach"","""","""""
"Darwinopterus,""modularis"",""type"","""""
"Darwinopterus,""camposi"","""","""""
"Darwinopterus,""linglongtaensis"","""","""""
"Darwinopterus,""robustodens"","""","""""
"Germanodactylus,""cristatus"","""",""1"""
"Pterodactylus,""antiquus"","""",""1"""
"Pterodaustro,""guinazui"","""","""""
"Cycnorhamphus,""suevicus"","""","""""
"Pteranodon,""longiceps"",""type"",""1"""
"Pteranodon,""sternbergi"","""",""1"""
"Alcione,""elainus"","""","""""
"Barbaridactylus,""grandis"","""","""""
"Nyctosaurus,""gracilis"",""type"",""1"""
"Nyctosaurus,""nanus"","""",""1"""
"Anhanguera,""blittersdorffi"",""type"","""""
"Anhanguera,""piscator"","""","""""
"Tropeognathus,""mesembrinus"","""","""""
"Ornithocheirus,""simus"","""",""1"""
"Dsungaripterus,""weii"","""","""""
"Cryodrakon,""boreas"","""","""""
"Hatzegopteryx,""thambema"","""",""1"""
"Phosphatodraco,""mauritanicus"","""","""""
"Quetzalcoatlus,""northropi"",""type"",""1"""
"Quetzalcoatlus,""lawsoni"","""",""1"""
"Thanatosdrakon,""amaru"","""","""""
"Arambourgiania,""philadelphiae"","""","""""
"Azhdarcho,""lancicollis"","""","""""
"Thalassodromeus,""sethi"","""","""""
"Tupuxuara,""longicristatus"",""type"","""""
"Tupuxuara,""leonardii"","""","""""
"Tapejara,""wellnhoferi"","""",""1"""
"Tupandactylus,""imperator"",""type"",""1"""
"Tupandactylus,""navigans"","""",""1"""
